+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                    ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; vpg_inst|pattern_gen_inst                                                                                                                                ; 55    ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vpg_inst|vga_time_generator_inst                                                                                                                         ; 102   ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vpg_inst|vgp_pll_reconfig_inst|vpg_pll_reconfig_inst|NM28_reconfig.mif_reconfig.altera_pll_reconfig_core_inst0|lcell_dprio_read                          ; 6     ; 4              ; 0            ; 4              ; 1      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vpg_inst|vgp_pll_reconfig_inst|vpg_pll_reconfig_inst|NM28_reconfig.mif_reconfig.altera_pll_reconfig_core_inst0|lcell_fpll_0_1                            ; 1     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vpg_inst|vgp_pll_reconfig_inst|vpg_pll_reconfig_inst|NM28_reconfig.mif_reconfig.altera_pll_reconfig_core_inst0|fpll_dprio_init_inst                      ; 3     ; 19             ; 1            ; 19             ; 31     ; 19              ; 19            ; 19              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vpg_inst|vgp_pll_reconfig_inst|vpg_pll_reconfig_inst|NM28_reconfig.mif_reconfig.altera_pll_reconfig_core_inst0|dprio_mux_inst                            ; 60    ; 0              ; 3            ; 0              ; 30     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vpg_inst|vgp_pll_reconfig_inst|vpg_pll_reconfig_inst|NM28_reconfig.mif_reconfig.altera_pll_reconfig_core_inst0|self_reset_inst                           ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vpg_inst|vgp_pll_reconfig_inst|vpg_pll_reconfig_inst|NM28_reconfig.mif_reconfig.altera_pll_reconfig_core_inst0|dyn_phase_shift_inst|lcell_cnt_sel_4      ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; vpg_inst|vgp_pll_reconfig_inst|vpg_pll_reconfig_inst|NM28_reconfig.mif_reconfig.altera_pll_reconfig_core_inst0|dyn_phase_shift_inst|lcell_cnt_sel_3      ; 6     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
